"","Sample.Key","metal","CPS","RSD"
"1","0","Cr52",0.024487012219991,1.56577062803791
"2","0","Cr53",0.00294748860146137,2.56540467553227
"3","0","As75",0.00629489270121524,2.85601310429678
"4","0","Cd111",0,NA
"5","0","Cd114",9.01827711722656e-05,13.5234886329261
"6","0","Pb208",0.00924441041502788,5.4595080018688
"7","0","Cr52",0.022987074183397,3.80458052816791
"8","0","Cr53",0.00255760927771401,13.5192124457597
"9","0","As75",0.00453948714656499,3.87670692782753
"10","0","Cd111",0,NA
"11","0","Cd114",8.93642781530265e-05,21.2780059600778
"12","0","Pb208",0.00430330363216684,6.39830713456081
"13","0","Cr52",0.0240995078926682,7.43538985978673
"14","0","Cr53",0.0028810365478462,12.660005241239
"15","0","As75",0.00481794947707182,5.88755080102107
"16","0","Cd111",3.04217609957904e-05,298.252564344924
"17","0","Cd114",8.36484402872599e-05,14.3524389044703
"18","0","Pb208",0.0082407852741345,28.7263156742654
"19","0","Cr52",0.0237176632641919,5.01239666936155
"20","0","Cr53",0.0026680422888439,8.36529044074314
"21","0","As75",0.00546292901451638,4.87298689198536
"22","0","Cd111",4.58418633534735e-05,92.03905785842
"23","0","Cd114",7.94439492040981e-05,27.2987594352119
"24","0","Pb208",0.00459972672702573,13.7323221530963
"25","65","Cr52",0.0168641368911452,4.02698537586311
"26","65","Cr53",0.00179508245071221,4.01191697883862
"27","65","As75",0.00493764430858473,1.74887388465628
"28","65","Cd111",2.75670571724234e-05,17.1393057860943
"29","65","Cd114",7.71629621377422e-05,4.27794134702624
"30","65","Pb208",0.0074261601697271,0.833981376873725
"31","66","Cr52",0.11321244130916,0.880495631342761
"32","66","Cr53",0.0132046810594129,0.584903261641448
"33","66","As75",0.0163767608893514,0.373963968466448
"34","66","Cd111",0.0290167040362118,1.19095134683077
"35","66","Cd114",0.0686228137106289,0.327041000743658
"36","66","Pb208",0.0374688507332884,0.844612858783824
"37","67","Cr52",0.203903997308818,1.48228176170417
"38","67","Cr53",0.0244293826511016,1.87273370679551
"39","67","As75",0.0269089108807534,3.76748621909528
"40","67","Cd111",0.055913128118275,1.69916291401753
"41","67","Cd114",0.140872242678894,0.922166973960405
"42","67","Pb208",0.0695996722653704,9.15031934092725
"43","68","Cr52",0.372294560760756,1.76854406809408
"44","68","Cr53",0.0462712407813658,1.48836577256009
"45","68","As75",0.046925197985185,1.98289652264713
"46","68","Cd111",0.112717951306397,3.65847162464144
"47","68","Cd114",0.276031414994869,0.951946469577514
"48","68","Pb208",0.125681595107793,3.99094338999266
"49","69","Cr52",0.899497011710586,0.623288960627108
"50","69","Cr53",0.110106619904917,0.928872539230507
"51","69","As75",0.112750117698672,1.39898114889515
"52","69","Cd111",0.273444894045143,0.927115162033719
"53","69","Cd114",0.690350646263302,0.18043704398558
"54","69","Pb208",0.311469808637375,1.77033682232654
"55","70","Cr52",1.75761846225382,0.183887637384877
"56","70","Cr53",0.215937130201422,0.555144303634555
"57","70","As75",0.216496817470684,0.349830516748513
"58","70","Cd111",0.546076782215622,1.96201802384612
"59","70","Cd114",1.36146141888148,0.136477627475468
"60","70","Pb208",0.603453436075465,0.353850437173042
"61","71","Cr52",3.50542207264209,0.346858773991161
"62","71","Cr53",0.425534407469603,0.124206705844225
"63","71","As75",0.426969225408559,0.583624624439032
"64","71","Cd111",1.08935726558356,0.231075006510365
"65","71","Cd114",2.72715945940982,0.279955318770712
"66","71","Pb208",1.17805040470453,0.97013744963132
"67","72","Cr52",10.333717725562,0.186228149886584
"68","72","Cr53",1.27156992072455,0.113525397203928
"69","72","As75",1.10065002723353,0.0502359113624309
"70","72","Cd111",3.25802054244776,0.107874870839656
"71","72","Cd114",8.10704926262757,0.11095007063485
"72","72","Pb208",3.11163430347355,0.225678735578522
"73","73","Cr52",17.9845884103558,0.26105283777844
"74","73","Cr53",2.17431874901256,0.0500952367761787
"75","73","As75",2.17354952859115,0.192001304080997
"76","73","Cd111",5.58180571867622,0.19621770068316
"77","73","Cd114",14.0077649475014,0.0758530136089567
"78","73","Pb208",6.0688830628795,0.177499387344754
"79","74","Cr52",90.3114127889007,0.18168326064851
"80","74","Cr53",10.9140908210173,0.158544911059459
"81","74","As75",10.9213683949176,0.163012934289175
"82","74","Cd111",27.9414331518625,0.184793642917243
"83","74","Cd114",71.7925470655592,0.0975851496113842
"84","74","Pb208",31.2974055863826,0.104263023440277
"85","75","Cr52",190.290308765173,0.209486435537895
"86","75","Cr53",23.2439941266076,0.238270289730743
"87","75","As75",23.5464193047255,0.708924808879663
"88","75","Cd111",59.0415321779764,0.462070268633694
"89","75","Cd114",150.600353007916,0.208538626937912
"90","75","Pb208",64.3916919518316,0.24785838635492
"91","0","Cr52",0.0311133989590534,6.47224958226766
"92","0","Cr53",0.00387230567801136,1.69488977195655
"93","0","As75",0.0113024398229121,1.68049847807157
"94","0","Cd111",0.00201067426777622,20.3616860437995
"95","0","Cd114",0.00478553275937569,11.7829555251501
"96","0","Pb208",0.0184497747030228,5.20552702513112
"97","0","Cr52",0.0246046844725451,0.808114730720014
"98","0","Cr53",0.00297261324152791,4.00688716949251
"99","0","As75",0.00878517477827193,8.57530684483373
"100","0","Cd111",0.000328077455365084,44.5040526064846
"101","0","Cd114",0.00122308549975798,14.1738625173135
"102","0","Pb208",0.0106696636786358,25.0390884422752
"103","0","Cr52",0.0280665884155758,1.74397241104538
"104","0","Cr53",0.00348238306684001,1.05312568034443
"105","0","As75",0.00710034209754267,0.871927287546786
"106","0","Cd111",0.000772140103567753,2.13270322661505
